stories_id,publish_date,url
116822206,14/05/13 4:35,http://www.sify.com/news/krishna-tirath-to-inaugurate-ibsa-women-s-forum-meet-today-news-national-nfokfbcgiag.html
117642319,16/05/13 16:40,http://www.sify.com/news/ibsa-signs-women-s-resolution-news-national-nfqwkfhhhca.html
199901627,03/02/14 18:17,http://www.sify.com/news/prelim-india-women-status-report-presented-news-default-ocdxLoifbad.html
235202534,24/05/14 8:26,http://timesofindia.indiatimes.com/city/guwahati/New-government-should-give-priority-to-gender-budgeting/articleshow/35553985.cms
243734600,19/06/14 19:25,http://www.livemint.com/Politics/lNkD9WT502D8qMh1OwXphO/Nirmal-Bharat-Abhiyan-Enough-funds-but-notenough-awarenes.html
254200836,20/07/14 4:06,http://timesofindia.indiatimes.com/city/guwahati/Gender-responsive-budgeting-effective-tool-for-women-empowerment/articleshow/38723452.cms
321495161,24/02/15 14:57,http://www.thehindu.com/opinion/op-ed/a-budget-for-women/article6929819.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication
322522603,27/02/15 19:53,http://timesofindia.feedsportal.com/c/33039/f/533916/s/43e17095/sc/24/l/0Ltimesofindia0Bindiatimes0N0Cindia0CBetter0Einfra0Esafer0Etransport0Ewill0Edrive0Emore0Ewomen0Eto0Ework0Carticleshow0C4640A36990Bcms/story01.htm
322693491,28/02/15 15:15,http://www.thehindu.com/business/budget/nirbhaya-fund-gets-rs-1000-crore/article6946558.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication
322732136,28/02/15 20:23,http://www.telegraphindia.com/1150301/jsp/nation/story_6265.jsp
324738727,07/03/15 19:17,http://www.thehindu.com/news/national/andhra-pradesh/93-pc-farmers-in-ap-debtridden/article6970519.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication
361452990,15/07/15 2:05,http://www.sify.com/news/ban-investing-in-gender-equality-vital-to-economic-growth-sustainable-development-news-international-phplerbbdeadf.html
384279801,04/10/15 16:20,http://timesofindia.feedsportal.com/c/33039/f/533980/s/4a65768f/sc/7/l/0Ltimesofindia0Bindiatimes0N0Ccity0Cahmedabad0CUN0Ebody0Eto0Eadvise0EGujarat0Eon0Egender0Ebudgeting0Carticleshow0C49220A7520Bcms/story01.htm
412885870,08/01/16 2:42,http://www.ipsnews.net/2016/01/india-needs-to-save-its-daughters-through-education-and-gender-equality/?utm_source=rss&utm_medium=rss&utm_campaign=india-needs-to-save-its-daughters-through-education-and-gender-equality
430140568,29/02/16 14:31,http://www.livemint.com/Home-Page/h0s3Phn00d6v2VK2DHio0L/Budget-2016-Mixed-bag-for-women.html
432685283,08/03/16 3:38,http://www.business-standard.com/article/specials/women-s-day-is-4-5-of-budget-on-plans-for-women-enough-116030800463_1.html
452667270,12/01/16 22:24,http://www.businesstoday.in/union-budget-2016-17/expectations/arun-jaitley-meets-social-sector-groups-assures-favourable-treatment/story/228058.html
451887083,08/03/16 2:30,http://www.indiaspend.com/special-reports/4-5-of-budget-on-plans-for-women-enough-78284
449954559,21/06/13 14:41,http://zeenews.india.com/news/world/end-discrimination-of-widows-un-women-acting-head_856765.html
452549040,17/09/15 17:42,http://www.dailyexcelsior.com/govt-to-accomplish-2016-17-budget-preparation-process-by-dec-20/
450954098,12/10/14 20:32,http://www.newindianexpress.com/states/kerala/Planning-Board-Moots-Re-prioritising-of-Projects/2014/10/13/article2474862.ece
454144525,12/01/16 14:26,http://www.business-standard.com/article/news-cm/fm-inclusive-growth-is-high-on-the-priorities-of-the-present-government-116011300121_1.html
454089776,21/06/13 14:55,http://www.business-standard.com/article/pti-stories/end-discrimination-of-widows-un-women-acting-head-113062200002_1.html
457993691,12/01/16 22:24,http://www.businesstoday.in/union-budget-2016-17/expectations/arun-jaitley-meets-social-sector-groups-assures-favourable-treatment/story/228058.html
457538541,24/05/14 4:26,http://timesofindia.indiatimes.com/city/guwahati/New-government-should-give-priority-to-gender-budgeting/articleshow/35553985.cms
458208525,09/03/16 2:06,http://www.boomlive.in/4-5-of-budget-on-plans-for-women-enough/
458231970,24/10/13 7:50,http://www.dalitweb.org/?p=2301
456532162,24/05/14 4:26,http://timesofindia.indiatimes.com/city/guwahati/New-government-should-give-priority-to-gender-budgeting/articleshow/35553985.cms
457071650,20/07/14 0:06,http://timesofindia.indiatimes.com/city/guwahati/Gender-responsive-budgeting-effective-tool-for-women-empowerment/articleshow/38723452.cms
456011474,20/07/14 0:06,http://timesofindia.indiatimes.com/city/guwahati/Gender-responsive-budgeting-effective-tool-for-women-empowerment/articleshow/38723452.cms
455822543,04/10/15 16:20,http://timesofindia.indiatimes.com/city/ahmedabad/UN-body-to-advise-Gujarat-on-gender-budgeting/articleshow/49220752.cms
449961113,03/02/14 10:21,http://zeenews.india.com/news/nation/ncw-needs-to-be-more-proactive-not-just-reactive-panel_908848.html
499068499,09/08/16 15:38,http://www.ipsnews.net/2016/08/an-unequal-country/?utm_source=rss&utm_medium=rss&utm_campaign=an-unequal-country
542885599,17/11/16 16:30,http://www.pri.org/stories/2016-11-17/sweden-opens-hotline-report-mansplaining
553689590,12/12/16 12:15,http://www.ipsnews.net/2016/12/putting-women-front-and-centre-in-the-development-agenda/?utm_source=rss&utm_medium=rss&utm_campaign=putting-women-front-and-centre-in-the-development-agenda
565121601,10/01/17 11:49,http://www.thehindu.com/opinion/op-ed/Mind-the-gender-gap/article17018980.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication
565133638,10/01/17 11:49,http://www.thehindu.com/opinion/op-ed/Mind-the-gender-gap/article17018980.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication
574019102,30/01/17 8:13,http://www.thebetterindia.com/84330/union-budget-2017-2018/
574335563,31/01/17 1:01,http://www.firstpost.com/business/budget-should-give-a-fillip-to-state-spending-on-social-sectors-to-improve-its-global-ranking-3239402.html
600957674,29/03/17 7:58,http://www.hindustantimes.com/jaipur/cag-raps-rajasthan-govt-for-not-spending-funds-on-women-empowerment-schemes/story-4xAmNp9jIGBFc2tV7lodmL.html
